term;type;url
"cue dependent forgetting";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09f70"
"cue validity";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09f7c"
"cueing";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09f87"
"curiosity";"concept";"http://www.cognitiveatlas.org/id/trm_4f3bdeedcc99d"
"dative shift";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a006"
"decay of activation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a021"
"deception";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a02c"
"decision";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b61f"
"decision certainty";"concept";"http://www.cognitiveatlas.org/id/trm_557b47abe9a34"
"decision making";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a038"
"decision uncertainty";"concept";"http://www.cognitiveatlas.org/id/trm_56798223b43b8"
"decision under uncertainty";"concept";"http://www.cognitiveatlas.org/id/trm_567982752ff4a"
"declarative knowledge";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a044"
"declarative memory";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a04f"
"declarative rule";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a05b"
"deductive inference";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a066"
"deductive reasoning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a072"
"deep processing";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a07e"
"deep structure";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a08a"
"default mode network";"concept";"http://www.cognitiveatlas.org/id/trm_5159c18bc2e34"
"defensive aggression";"concept";"http://www.cognitiveatlas.org/id/trm_5159c885a7314"
"defiance";"concept";"http://www.cognitiveatlas.org/id/trm_523e034f9e69a"
"deliberation";"concept";"http://www.cognitiveatlas.org/id/trm_4fa28299dbddd"
"delusion";"concept";"http://www.cognitiveatlas.org/id/trm_4fa3afaeef512"
"depth cue";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a095"
"depth perception";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a0a1"
"desire";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a0ad"
"detection";"concept";"http://www.cognitiveatlas.org/id/trm_55ce70b20186b"
"difference threshold";"concept";"http://www.cognitiveatlas.org/id/trm_4fe9fae4321e7"
"diphthong";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a0dc"
"discourse";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b6c5"
"discourse comprehension";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b6d1"
"discourse knowledge";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b6dd"
"discourse planning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b6e9"
"discourse processing";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b6f5"
"discourse production";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b701"
"discrimination";"concept";"http://www.cognitiveatlas.org/id/trm_5519b7525d7a2"
"dispositions";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a0e7"
"distraction";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a0f3"
"distributed coding";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a0ff"
"divergent thinking";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a10a"
"divided attention";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a116"
"domain specificity";"concept";"http://www.cognitiveatlas.org/id/trm_5021684cba96c"
"dream";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a12d"
"Dyslexia";"concept";"http://www.cognitiveatlas.org/id/trm_55e1b08e5b06c"
"eating";"concept";"http://www.cognitiveatlas.org/id/trm_525d8b8908809"
"echoic memory";"concept";"http://www.cognitiveatlas.org/id/trm_4b185801de7a1"
"echolocation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b996"
"economic value processing";"concept";"http://www.cognitiveatlas.org/id/trm_557b4817db34d"
"edge detection";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b9a1"
"efficiency";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a145"
"effort";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a151"
"effort valuation";"concept";"http://www.cognitiveatlas.org/id/trm_5159c971bf444"
"effortful processing";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a15c"
"egocentric";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a168"
"elaborative processing";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a173"
"elaborative rehearsal";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b8d9"
"embodied cognition";"concept";"http://www.cognitiveatlas.org/id/trm_4f33e65d0daac"
"emotion";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a17f"
"emotion perception";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b65a"
"emotion recognition";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b665"
"emotion regulation";"concept";"http://www.cognitiveatlas.org/id/trm_51a690a7492eb"
"emotional bonding";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b671"
"emotional decision making";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a18b"
"emotional enhancement";"concept";"http://www.cognitiveatlas.org/id/trm_5679b0e9d8c20"
"emotional expression";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a196"
"emotional face recognition";"concept";"http://www.cognitiveatlas.org/id/trm_557b482a7c62b"
"emotional intelligence";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a1a2"
"emotional memory";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a1ae"
"emotional mimicry";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a1b9"
"emotional reappraisal";"concept";"http://www.cognitiveatlas.org/id/trm_557b4844ca14d"
"emotional self-evaluation";"concept";"http://www.cognitiveatlas.org/id/trm_557b4855a12b4"
"emotional suppression";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a1d1"
"empathy";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b67d"
"encoding";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b8e5"
"episodic buffer";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b8f0"
"episodic learning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a1e8"
"episodic memory";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a1f4"
"error detection";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a20c"
"error signal";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a218"
"error trapping";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a223"
"excitation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a22f"
"exogenous attention";"concept";"http://www.cognitiveatlas.org/id/trm_56006cb5a61ac"
"expectancy";"concept";"http://www.cognitiveatlas.org/id/trm_4ebfe9a465449"
"expertise";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a25e"
"explicit knowledge";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a269"
"explicit learning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a275"
"explicit memory";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a281"
"externalizing";"concept";"http://www.cognitiveatlas.org/id/trm_523ca883711cc"
"extinction";"concept";"http://www.cognitiveatlas.org/id/trm_4fe8edc62f613"
"extrinsic motivation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a28c"
"face maintenance";"concept";"http://www.cognitiveatlas.org/id/trm_55c6f87595b39"
"face perception";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a300"
"face recognition";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a30c"
"facial age recognition";"concept";"http://www.cognitiveatlas.org/id/trm_5595bd6c61d78"
"facial attractiveness recognition";"concept";"http://www.cognitiveatlas.org/id/trm_5595bd89d77c6"
"facial expression";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a318"
"facial happiness recognition";"concept";"http://www.cognitiveatlas.org/id/trm_5595bd2b92003"
"facial recognition";"concept";"http://www.cognitiveatlas.org/id/trm_5595bde6b2e95"
"facial trustworthiness recognition";"concept";"http://www.cognitiveatlas.org/id/trm_5595bda0c5dc3"
"false memory";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a323"
"familiarity";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b8fc"
"fatigue";"concept";"http://www.cognitiveatlas.org/id/trm_52583e52d5e7a"
"fear";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b689"
"feature comparison";"concept";"http://www.cognitiveatlas.org/id/trm_557b4891e9265"
"feature detection";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b9ad"
"feature extraction";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a32f"
"feature integration";"concept";"http://www.cognitiveatlas.org/id/trm_502954662d63e"
"feature search";"concept";"http://www.cognitiveatlas.org/id/trm_4fea18ec76bc9"
"feature-based attention";"concept";"http://www.cognitiveatlas.org/id/trm_5524572b66764"
"feedback processing";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a33b"
"figure ground reversal";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b9d1"
"figure ground segregation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b9dd"
"filtering";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a352"
"fixation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a35e"
"fixed action patterns";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a36a"
"fluid intelligence";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a375"
"focus";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a381"
"focused attention";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0a38d"
