term;type;url
"Cambridge Neuropsychological Test Automated Battery ";"task";"http://www.cognitiveatlas.org/id/trm_4da880ff8fd4a"
"Cambridge risk task";"task";"http://www.cognitiveatlas.org/id/trm_4f242042e5805"
"capsaicin-evoked pain";"task";"http://www.cognitiveatlas.org/id/trm_4e6a2f61b17b0"
"CatBat task";"task";"http://www.cognitiveatlas.org/id/trm_4da88bff0507c"
"categorization task";"task";"http://www.cognitiveatlas.org/id/trm_4f24112057e90"
"category fluency test";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949923"
"Cattell&#39;s Culture Fair Intelligence Test";"task";"http://www.cognitiveatlas.org/id/trm_4da86c6808ddd"
"Center for Epidemiologic Studies Depression Scale";"task";"http://www.cognitiveatlas.org/id/trm_5258346e72223"
"Change Detection Task";"task";"http://www.cognitiveatlas.org/id/trm_5154906cbead5"
"Chapman Scales";"task";"http://www.cognitiveatlas.org/id/trm_55a6cab35ea62"
"chewing/swallowing";"task";"http://www.cognitiveatlas.org/id/trm_4c898a8fd3afb"
"Child Behavior Checklist";"task";"http://www.cognitiveatlas.org/id/trm_524b4a402c87e"
"Children&#39;s Communication Checklist";"task";"http://www.cognitiveatlas.org/id/trm_5255c99be1e53"
"Children&#39;s Memory Scale";"task";"http://www.cognitiveatlas.org/id/trm_52167db323438"
"Children&#39;s Psychiatric Rating Scale";"task";"http://www.cognitiveatlas.org/id/trm_525c56680c13c"
"Children&#39;s Yale-Brown Obsessive Compulsive Scale";"task";"http://www.cognitiveatlas.org/id/trm_52602c143d3a9"
"chimeric animal Stroop task";"task";"http://www.cognitiveatlas.org/id/trm_4b843655d5d75"
"choice reaction time task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949934"
"choice task between risky and non-risky options";"task";"http://www.cognitiveatlas.org/id/trm_4d55a2bbcfdff"
"classification probe without feedback";"task";"http://www.cognitiveatlas.org/id/trm_4ebc9d2e397f2"
"Clinical Evaluation of Language Fundamentals-3";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb9499a8"
"Cognitive Reflection Test";"task";"http://www.cognitiveatlas.org/id/trm_56675359b663a"
"coherent motion";"task";"http://www.cognitiveatlas.org/id/trm_551b0c616de16"
"Coherent/Incoherent discourse distinction task";"task";"http://www.cognitiveatlas.org/id/trm_55217860a9dea"
"cold pressor test";"task";"http://www.cognitiveatlas.org/id/trm_4e6a44ee854f8"
"cold stimulation ";"task";"http://www.cognitiveatlas.org/id/trm_4e664d3718e1b"
"color naming task";"task";"http://www.cognitiveatlas.org/id/trm_4f244c1f6b53f"
"Color Trails Test";"task";"http://www.cognitiveatlas.org/id/trm_4da633fe917c4"
"color-discrimination task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb9499b8"
"color-word stroop task";"task";"http://www.cognitiveatlas.org/id/trm_4b1968619b00b"
"color-word stroop with task switching";"task";"http://www.cognitiveatlas.org/id/trm_5542841f3dcd5"
"Columbia Card Task";"task";"http://www.cognitiveatlas.org/id/trm_5667492c555b7"
"Communication and Symbolic Behavior Scales Development Profile";"task";"http://www.cognitiveatlas.org/id/trm_52718631bc934"
"complex span test";"task";"http://www.cognitiveatlas.org/id/trm_4da86ad02b3ea"
"complex trait judgment task";"task";"http://www.cognitiveatlas.org/id/trm_553fd2fc7a648"
"Comprehensive Test of Phonological Processing";"task";"http://www.cognitiveatlas.org/id/trm_526027c99b726"
"conditional stop signal task";"task";"http://www.cognitiveatlas.org/id/trm_4cacf3fbc503b"
"conjunction search task";"task";"http://www.cognitiveatlas.org/id/trm_4f24194bce29f"
"Conners 3rd Edition";"task";"http://www.cognitiveatlas.org/id/trm_525c4cb94bfff"
"Conners Comprehensive Behavior Rating Scales";"task";"http://www.cognitiveatlas.org/id/trm_524b563fb87c8"
"consensus decision-making task";"task";"http://www.cognitiveatlas.org/id/trm_553fc858cacc5"
"contextual cueing task";"task";"http://www.cognitiveatlas.org/id/trm_4f24492504ca0"
"contextual semantic priming task";"task";"http://www.cognitiveatlas.org/id/trm_553e73e29cf7d"
"continuous performance task";"task";"http://www.cognitiveatlas.org/id/trm_4b4a537644d76"
"Continuous Performance Test - AX version";"task";"http://www.cognitiveatlas.org/id/trm_551f0c294ce23"
"continuous recognition paradigm";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb9499c7"
"contour integration task";"task";"http://www.cognitiveatlas.org/id/trm_5519c85ed1e8d"
"contour interpolation task";"task";"http://www.cognitiveatlas.org/id/trm_551b0bb59173d"
"contrast detection task";"task";"http://www.cognitiveatlas.org/id/trm_502be67697201"
"contrast sensitivity test";"task";"http://www.cognitiveatlas.org/id/trm_551efdcd10677"
"copying task";"task";"http://www.cognitiveatlas.org/id/trm_4fbd2ac1cd035"
"Corpus analysis";"task";"http://www.cognitiveatlas.org/id/trm_5521752956bb2"
"Corsi Blocks";"task";"http://www.cognitiveatlas.org/id/trm_4da881dace79c"
"counterconditioning";"task";"http://www.cognitiveatlas.org/id/trm_50240427b4c1b"
"counting Stroop task";"task";"http://www.cognitiveatlas.org/id/trm_4da631be60291"
"Counting/Calculation";"task";"http://www.cognitiveatlas.org/id/trm_4c898b02722d2"
"covert naming task";"task";"http://www.cognitiveatlas.org/id/trm_4f240d346320c"
"Covert verb generation task";"task";"http://www.cognitiveatlas.org/id/trm_5346927710e88"
"criteria task";"task";"http://www.cognitiveatlas.org/id/trm_512e7621189ad"
"cross modality";"task";"http://www.cognitiveatlas.org/id/trm_551b0e17c6c76"
"cue approach task";"task";"http://www.cognitiveatlas.org/id/trm_553e77e53497d"
"cued explicit recognition";"task";"http://www.cognitiveatlas.org/id/trm_4c898b29660b0"
"cups task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb9499d5"
"cyberball task";"task";"http://www.cognitiveatlas.org/id/trm_4f24189031a4a"
"deception task";"task";"http://www.cognitiveatlas.org/id/trm_4c898b4b463aa"
"deductive reasoning task";"task";"http://www.cognitiveatlas.org/id/trm_4c898b8c2d071"
"delay conditioning";"task";"http://www.cognitiveatlas.org/id/trm_5023ef8eab626"
"Delay Discounting Titration";"task";"http://www.cognitiveatlas.org/id/trm_566748c929afc"
"delayed match to sample task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb9499e3"
"delayed memory task";"task";"http://www.cognitiveatlas.org/id/trm_4fba85a597ca9"
"delayed nonmatch to sample task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb9499f1"
"delayed recall test";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb9499ff"
"delayed response task";"task";"http://www.cognitiveatlas.org/id/trm_4dadbdd0b2b8c"
"deterministic classification";"task";"http://www.cognitiveatlas.org/id/trm_4e8dd3831f0cc"
"Deviance Detection";"task";"http://www.cognitiveatlas.org/id/trm_5519c2d8d7b1d"
"devil&#39;s task";"task";"http://www.cognitiveatlas.org/id/trm_4d559d2703bae"
"dichotic listening task";"task";"http://www.cognitiveatlas.org/id/trm_4da87e9c79847"
"Dickman Impulsivity Inventory";"task";"http://www.cognitiveatlas.org/id/trm_55a6a95f66508"
"Dietary Decisions Task";"task";"http://www.cognitiveatlas.org/id/trm_56674d6aa9faf"
"Differential Ability Scales";"task";"http://www.cognitiveatlas.org/id/trm_5272806688e63"
"digit cancellation task";"task";"http://www.cognitiveatlas.org/id/trm_4da89077f19ae"
"digit span task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949a0d"
"digit/symbol coding test";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949a25"
"directed forgetting task";"task";"http://www.cognitiveatlas.org/id/trm_4da87f383435b"
"Discourse content questions";"task";"http://www.cognitiveatlas.org/id/trm_55217a446eb3b"
"Distraction paradigm (capture)";"task";"http://www.cognitiveatlas.org/id/trm_551f07a281283"
"divided auditory attention";"task";"http://www.cognitiveatlas.org/id/trm_4c898bbab4fd4"
"doors and people test";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949a33"
"dot motion task";"task";"http://www.cognitiveatlas.org/id/trm_4f244ad7dcde7"
"dot pattern expectancy task";"task";"http://www.cognitiveatlas.org/id/trm_4da86c2a70a7d"
"drawing";"task";"http://www.cognitiveatlas.org/id/trm_4c898be57fcbc"
"drawing from memory task";"task";"http://www.cognitiveatlas.org/id/trm_4fbd2e5614028"
"dual sensitization";"task";"http://www.cognitiveatlas.org/id/trm_4e5e7ac84c2e5"
"dual-task paradigm";"task";"http://www.cognitiveatlas.org/id/trm_4da634216ebbc"
"dual-task weather prediction";"task";"http://www.cognitiveatlas.org/id/trm_4ebc98cc77e7b"
"Early Childhood Behavioral Questionnaire";"task";"http://www.cognitiveatlas.org/id/trm_5298e7a465b41"
"Early Development Interview (EDI)";"task";"http://www.cognitiveatlas.org/id/trm_5298ed1336e43"
"Early Social and Communication Scales";"task";"http://www.cognitiveatlas.org/id/trm_4da8911e715e3"
"eating/drinking";"task";"http://www.cognitiveatlas.org/id/trm_4c898c0786246"
"Edinburgh Handedness Inventory";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949a41"
"electric stimulation";"task";"http://www.cognitiveatlas.org/id/trm_4e68e08950157"
"embedded figures test";"task";"http://www.cognitiveatlas.org/id/trm_4b749b8829eee"
"emotion expression identification";"task";"http://www.cognitiveatlas.org/id/trm_551efd8a98162"
"emotion processing fMRI task paradigm";"task";"http://www.cognitiveatlas.org/id/trm_550b5b066d37b"
"Emotion Recognition Task";"task";"http://www.cognitiveatlas.org/id/trm_50f734f86b11a"
"emotional regulation task";"task";"http://www.cognitiveatlas.org/id/trm_4da890594742a"
"encoding task";"task";"http://www.cognitiveatlas.org/id/trm_4c898c33ee5f8"
"episodic recall";"task";"http://www.cognitiveatlas.org/id/trm_4c898c8bf1b4f"
"Eriksen flanker task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949a4f"
"Expressive One Word-Picture Vocabulary Test";"task";"http://www.cognitiveatlas.org/id/trm_5262c98a09546"
"Expressive One-Word Picture Vocabulary Test";"task";"http://www.cognitiveatlas.org/id/trm_5298f15fe0fcf"
"Expressive Vocabulary Test";"task";"http://www.cognitiveatlas.org/id/trm_52602e2e0c43b"
"extradimensional shift task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949a5d"
"Eye tracking paradigms";"task";"http://www.cognitiveatlas.org/id/trm_55217b48995ce"
"Eysenck Personality Questionnaire";"task";"http://www.cognitiveatlas.org/id/trm_55a6ae8f44ac3"
"Face Identification task";"task";"http://www.cognitiveatlas.org/id/trm_551efdfd1a356"
"face matching task";"task";"http://www.cognitiveatlas.org/id/trm_4f24247912761"
"face monitor/discrimination";"task";"http://www.cognitiveatlas.org/id/trm_4c898cb4ada49"
"face n-back task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949a6a"
"face working memory task";"task";"http://www.cognitiveatlas.org/id/trm_4f2421a62cdf8"
"facial recognition task";"task";"http://www.cognitiveatlas.org/id/trm_5090b32d6b376"
"Fagerstrom Test for Nicotine Dependence";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949a78"
"false belief task";"task";"http://www.cognitiveatlas.org/id/trm_4f2456027809f"
"fame judgment task";"task";"http://www.cognitiveatlas.org/id/trm_4f241fe40a950"
"figure ground task";"task";"http://www.cognitiveatlas.org/id/trm_551b0d687ee33"
"film viewing";"task";"http://www.cognitiveatlas.org/id/trm_4c898da401420"
"finger tapping task";"task";"http://www.cognitiveatlas.org/id/trm_4c898f079d05e"
"Fitts task";"task";"http://www.cognitiveatlas.org/id/trm_4f24226fa2903"
"fixation task";"task";"http://www.cognitiveatlas.org/id/trm_4c898f72228f3"
"flashing checkerboard";"task";"http://www.cognitiveatlas.org/id/trm_4c898f8f297ac"
"flexion/extension";"task";"http://www.cognitiveatlas.org/id/trm_4c898fad429ed"
"foreshortened view task";"task";"http://www.cognitiveatlas.org/id/trm_4fbd2dc0273d9"
"forward digit span task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949a85"
"free word list recall";"task";"http://www.cognitiveatlas.org/id/trm_4c898fc6722f4"
"functional localizer fMRI tasks";"task";"http://www.cognitiveatlas.org/id/trm_553e85265f51e"
"gambling fMRI task paradigm";"task";"http://www.cognitiveatlas.org/id/trm_550b5c1a7f4db"
"gambling task";"task";"http://www.cognitiveatlas.org/id/trm_4f24496a80587"
"gating";"task";"http://www.cognitiveatlas.org/id/trm_551b14d7d5882"
"gender discrimination task";"task";"http://www.cognitiveatlas.org/id/trm_4f241c8d4a75c"
"general knowledge task";"task";"http://www.cognitiveatlas.org/id/trm_4f24237f2ed47"
"Glasgow Coma Scale";"task";"http://www.cognitiveatlas.org/id/trm_4da890f978492"
"global-local task";"task";"http://www.cognitiveatlas.org/id/trm_4f241d7adf14e"
"go/no-go task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949a93"
"Graded Naming Test";"task";"http://www.cognitiveatlas.org/id/trm_50f741a965470"
"grasping task";"task";"http://www.cognitiveatlas.org/id/trm_4c898ff0bea97"
"Gray Oral Reading Test - 4";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949aa1"
"Halstead-Reitan Battery";"task";"http://www.cognitiveatlas.org/id/trm_529911569b592"
"Hamilton Psychiatric Rating Scale for Depression";"task";"http://www.cognitiveatlas.org/id/trm_559e2af1cc0ce"
"haptic illusion task";"task";"http://www.cognitiveatlas.org/id/trm_4da88c205b16b"
"Hayling sentence completion test";"task";"http://www.cognitiveatlas.org/id/trm_4da88c904862b"
"heat sensitization/adaptation";"task";"http://www.cognitiveatlas.org/id/trm_4e5662373bc89"
"heat stimulation";"task";"http://www.cognitiveatlas.org/id/trm_4e550887d92de"
"Holt and Laury Risk Titrator";"task";"http://www.cognitiveatlas.org/id/trm_56674f71483b0"
"Hooper visual organization test";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949aae"
"Hopkins Symptom Checklist";"task";"http://www.cognitiveatlas.org/id/trm_55a6a860a7088"
"Hungry Donkey Task";"task";"http://www.cognitiveatlas.org/id/trm_50b40bca8cf83"
"Hypomanic Personality Scale";"task";"http://www.cognitiveatlas.org/id/trm_55a6c92db12b0"
"image monitoring";"task";"http://www.cognitiveatlas.org/id/trm_5667436296862"
"imagined movement";"task";"http://www.cognitiveatlas.org/id/trm_4c899005b11d5"
"imagined objects/scenes";"task";"http://www.cognitiveatlas.org/id/trm_4c89903149aeb"
"immediate memory task";"task";"http://www.cognitiveatlas.org/id/trm_4fba857ad04ac"
"immediate recall test";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949abc"
"Implicit Association Task";"task";"http://www.cognitiveatlas.org/id/trm_50b6660b1b847"
"incentive modulated antisaccade task";"task";"http://www.cognitiveatlas.org/id/trm_565a2e79b22f2"
"Incidental encoding task";"task";"http://www.cognitiveatlas.org/id/trm_50df0dd9d0b6f"
"inductive reasoning aptitude";"task";"http://www.cognitiveatlas.org/id/trm_4d8a48e403c78"
"Information Sampling Task";"task";"http://www.cognitiveatlas.org/id/trm_50f73d557c967"
"instrumental learning task";"task";"http://www.cognitiveatlas.org/id/trm_4f2414059baa8"
"intensity for somatosensory stimulation";"task";"http://www.cognitiveatlas.org/id/trm_551b17b190582"
"Inter-dimensional/Extra-dimensional Shift Task";"task";"http://www.cognitiveatlas.org/id/trm_5667476fc14dd"
"Inter-modal selective attention task";"task";"http://www.cognitiveatlas.org/id/trm_551f0713a5a17"
"intermodal preferential looking paradigm";"task";"http://www.cognitiveatlas.org/id/trm_4eb1f3a8ec119"
"International Affective Picture System";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949aca"
"intradimensional shift task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949ad7"
"Iowa Gambling Task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949ae5"
"Ishihara plates for color blindness";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949af3"
"isometric force";"task";"http://www.cognitiveatlas.org/id/trm_4c8990480ad0f"
"item recognition task";"task";"http://www.cognitiveatlas.org/id/trm_4da869646e5d1"
"Joint Attention / Social and Nonsocial Orienting Task";"task";"http://www.cognitiveatlas.org/id/trm_529ce04b778b6"
"Judgment of Line Orientation Task";"task";"http://www.cognitiveatlas.org/id/trm_529ce3d22be3e"
"Kanizsa figures";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949b00"
"Kaufman Brief Intelligence Test";"task";"http://www.cognitiveatlas.org/id/trm_529ce6ecb35f8"
"keep-track task";"task";"http://www.cognitiveatlas.org/id/trm_4c40d4054f38b"
"Landmark task";"task";"http://www.cognitiveatlas.org/id/trm_5346938eed092"
"language processing fMRI task paradigm";"task";"http://www.cognitiveatlas.org/id/trm_550b54a8b30f4"
"lateral facilitation";"task";"http://www.cognitiveatlas.org/id/trm_551b0c0a742d2"
"Leiter International Performance Scale";"task";"http://www.cognitiveatlas.org/id/trm_5262cb3d852c0"
"length match task";"task";"http://www.cognitiveatlas.org/id/trm_4fbd2b16e7aff"
"letter case judgment task";"task";"http://www.cognitiveatlas.org/id/trm_4f241001dfcee"
"letter comparison task";"task";"http://www.cognitiveatlas.org/id/trm_4da86c8bb3b04"
"letter fluency test ";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949b0e"
"letter n-back task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949b1c"
"letter naming task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949b2b"
"letter number sequencing";"task";"http://www.cognitiveatlas.org/id/trm_4c3e0a9576c3b"
"lexical decision task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949b38"
"Listening and reading task";"task";"http://www.cognitiveatlas.org/id/trm_55217a9f473f0"
"listening span task";"task";"http://www.cognitiveatlas.org/id/trm_4c40d1d16071e"
"living-nonliving task";"task";"http://www.cognitiveatlas.org/id/trm_4f24258b51e2c"
"living/nonliving judgment on mirror-reversed and plain-text words";"task";"http://www.cognitiveatlas.org/id/trm_5176cf9d3d512"
"local computation";"task";"http://www.cognitiveatlas.org/id/trm_551b1004bc652"
"logical reasoning task";"task";"http://www.cognitiveatlas.org/id/trm_4f24154867d84"
"Loneliness Rating Scale";"task";"http://www.cognitiveatlas.org/id/trm_529d087705bfa"
"MacArthur Communicative Development Inventories";"task";"http://www.cognitiveatlas.org/id/trm_4da891794859f"
"Manipulation of coherence and cohesion";"task";"http://www.cognitiveatlas.org/id/trm_552181d7be45e"
"Manipulation of individual words";"task";"http://www.cognitiveatlas.org/id/trm_55218116cbf40"
"Manipulation of ISI";"task";"http://www.cognitiveatlas.org/id/trm_551efeacb9deb"
"Manipulation of language and non-verbal behaviors";"task";"http://www.cognitiveatlas.org/id/trm_55217e77441b0"
"Manipulation of predictability";"task";"http://www.cognitiveatlas.org/id/trm_55492d262a847"
"Manipulation of predictability and acceptability";"task";"http://www.cognitiveatlas.org/id/trm_55217d7fbfdba"
"match to sample visual search";"task";"http://www.cognitiveatlas.org/id/trm_50f852c084fde"
"matching familiar figures test";"task";"http://www.cognitiveatlas.org/id/trm_4da87b8bf1511"
"matching pennies game ";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949b46"
"Maudsley Obsessive Compulsive Inventory";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949b54"
"McGurk effect";"task";"http://www.cognitiveatlas.org/id/trm_51a637dfeffd5"
"mechanical stimulation";"task";"http://www.cognitiveatlas.org/id/trm_4e5d07565b68e"
"meditation task";"task";"http://www.cognitiveatlas.org/id/trm_4fb4175126374"
"memory guided saccade task";"task";"http://www.cognitiveatlas.org/id/trm_4f2457d94fd93"
"memory span test";"task";"http://www.cognitiveatlas.org/id/trm_4da869e68b5c4"
"mental arithmetic task";"task";"http://www.cognitiveatlas.org/id/trm_4f24179122380"
"mental imagery task";"task";"http://www.cognitiveatlas.org/id/trm_4f240edf92865"
"mental rotation task";"task";"http://www.cognitiveatlas.org/id/trm_4c8990810541d"
"mentalizing task";"task";"http://www.cognitiveatlas.org/id/trm_4f241ab50513b"
"MicroCog";"task";"http://www.cognitiveatlas.org/id/trm_4b9568b2865c2"
"micturition task";"task";"http://www.cognitiveatlas.org/id/trm_4c89909cc1f33"
"Mini Mental State Examination";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949bb1"
"minimal feature match task ";"task";"http://www.cognitiveatlas.org/id/trm_4fbd2d71adf87"
"Minnesota Multiphasic Personality Inventory";"task";"http://www.cognitiveatlas.org/id/trm_55a6c80b2c1d6"
"mirror reading task";"task";"http://www.cognitiveatlas.org/id/trm_5176cf2c19e89"
"mirror tracing task";"task";"http://www.cognitiveatlas.org/id/trm_4f244a67d5b17"
"mixed event-related probe";"task";"http://www.cognitiveatlas.org/id/trm_4e8dd3dfd9fff"
"mixed gambles task";"task";"http://www.cognitiveatlas.org/id/trm_4cacee4a1d875"
"modified Erickson Scale of Communication Attitudes";"task";"http://www.cognitiveatlas.org/id/trm_4da891d43240c"
